stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone
120523,1749,Tuulikintie E,,65.062829,25.486939,2,,0,,Europe/Helsinki
120804,2119,Kastellinpolku P,,65.00788900000002,25.53376,2,,0,,Europe/Helsinki
148101,2367,Kärppä taimi E,,64.974536,25.637025,2,,0,,Europe/Helsinki
101617,1415,Mannintie P,,65.170739,25.594585,4,,0,,Europe/Helsinki
101287,1897,Parolanmäki P,,65.03294,26.046305,4,,0,,Europe/Helsinki
121055,2445,Jousenkaari E,,64.96558400000002,25.537644,2,,0,,Europe/Helsinki
184252,1183,Maalismaantie P,,65.313344,25.687902,5,,0,,Europe/Helsinki
120912,2265,Tinatie E,,64.99207800000002,25.50614,2,,0,,Europe/Helsinki
98747,2805,Rova th E,,64.868963,25.869047,4,,0,,Europe/Helsinki
120512,1738,Veitikka E,,65.065421,25.420096,2,,0,,Europe/Helsinki
121024,2409,Turkkitie E,,64.971327,25.519666,2,,0,,Europe/Helsinki
101550,1740,Hiirenvirna E,,65.065587,25.411988,2,,0,,Europe/Helsinki
120972,2340,Jatulikiventie P,,64.98096200000002,25.574876,2,,0,,Europe/Helsinki
120628,1885,Leväsuontie P,,65.03962900000002,25.578369,2,,0,,Europe/Helsinki
184041,2131,Virastotalo E,,65.010214,25.465102,2,,0,,Europe/Helsinki
120090,1289,Repolantie E,,65.213011,25.307506,3,,0,,Europe/Helsinki
101048,2573,Vihiluoto P,,64.942598,25.453022,3,,0,,Europe/Helsinki
120693,1990,Valtatie P,,65.026974,25.464373,2,,0,,Europe/Helsinki
150359,1272,Kalliomäki E,,65.22407200000002,25.342893,3,,0,,Europe/Helsinki
120488,1714,Vesipääskyntie E,,65.069008,25.517241,2,,0,,Europe/Helsinki
150063,2825,Riikonen E,,64.862366,25.60548,3,,0,,Europe/Helsinki
120386,1607,Jäälihalli P,,65.09262,25.689448,3,,0,,Europe/Helsinki
101531,1536,Kalimensilta P,,65.125948,25.361324,3,,0,,Europe/Helsinki
148002,2948,Nikula th P,,64.819496,25.601001,4,,0,,Europe/Helsinki
150318,1407,Herralankuja E,,65.177035,25.348564,3,,0,,Europe/Helsinki
101747,1064,Pohjukkaoja P,,65.364751,25.80203,5,,0,,Europe/Helsinki
184615,3004,Pitkäkoski E,,64.808562,25.452798,4,,0,,Europe/Helsinki
101518,1427,Viikki E,,65.16723500000002,25.347446,3,,0,,Europe/Helsinki
98709,2425,Heikkilänsaari E,,64.96664,25.629063,2,,0,,Europe/Helsinki
120703,2001,Hintanmutka P,,65.024763,25.525428,2,,0,,Europe/Helsinki
120525,1751,Tapiontie E,,65.062821,25.478269,2,,0,,Europe/Helsinki
120860,2198,Karjaportti P,,65.001072,25.491453,2,,0,,Europe/Helsinki
169631,2515,Poikuekuja P,,64.954131,25.536131,2,,0,,Europe/Helsinki
152861,2288,Kassinen E,,64.983218,25.96276,4,,0,,Europe/Helsinki
120722,2025,Yrjänäntie E,,65.02322100000002,25.530988,2,,0,,Europe/Helsinki
101679,1053,Yli-Iin keskusta E,,65.373227,25.844049,5,,0,,Europe/Helsinki
120808,2124,OYS B1,,65.00808000000002,25.520304,2,,0,,Europe/Helsinki
120119,1323,Haukiputaan ammattikoulu E,,65.194024,25.411515,4,,0,,Europe/Helsinki
98471,1987,Typpitie P,,65.027174,25.512518,2,,0,,Europe/Helsinki
191117,1193,Timpurintie E,,65.31617,25.388236,4,,0,,Europe/Helsinki
148005,2963,Ängeslevä th E,,64.815373,25.609006,4,,0,,Europe/Helsinki
307189,3321,Ritakierros E,,65.08380833,25.45384167,2,,0,,Europe/Helsinki
148241,2309,Taimikko E,,64.984738,25.620677,2,,0,,Europe/Helsinki
150157,2580,Pitkäkankaantie E,,64.94142,25.39673,3,,0,,Europe/Helsinki
120963,2330,Snellmankoti P,,64.98382700000002,25.492192,2,,0,,Europe/Helsinki
